Chart Recorder Data File Wed, Nov 24, 2021 1:47 PM
CH1 (V)  	CH2 (V)  
14.709550781	0.232910156
14.740781250	0.234863281
14.772011719	0.239746094
14.787626953	0.241699219
14.818857422	0.246093750
14.850087891	0.250488281
14.881318359	0.272949219
14.896933594	0.266601562
14.928164063	0.266113281
14.959394531	0.264648437
14.975009766	0.267089844
15.006240234	0.268066406
15.021855469	0.270996094
15.053085938	0.272460937
15.084316406	0.277343750
15.115546875	0.279296875
15.146777344	0.284667969
15.162392578	0.286621094
15.193623047	0.291015625
15.240468750	0.293945312
15.240468750	0.298828125
15.271699219	0.301757812
15.302929687	0.306640625
15.334160156	0.310058594
15.349775391	0.314941406
15.381005859	0.318359375
15.412236328	0.323242187
15.443466797	0.326660156
15.459082031	0.331054687
15.490312500	0.333984375
15.521542969	0.338867187
15.537158203	0.341796875
15.568388672	0.346679687
15.599619141	0.349121094
15.615234375	0.353515625
15.646464844	0.355468750
15.677695312	0.359375000
15.693310547	0.361328125
15.724541016	0.364746094
15.755771484	0.365722656
15.771386719	0.368652344
15.818232422	0.368652344
15.833847656	0.370605469
15.865078125	0.370117187
15.880693359	0.372558594
15.911923828	0.372558594
15.927539062	0.374023437
15.943154297	0.373046875
15.990000000	0.374023437
15.990000000	0.372070312
16.021230469	0.371582031
16.052460938	0.369140625
16.083691406	0.369140625
16.099306641	0.367675781
16.130537109	0.366210937
16.161767578	0.362792969
16.192998047	0.362304687
16.208613281	0.358398437
16.239843750	0.357421875
16.271074219	0.354003906
16.286689453	0.353027344
16.317919922	0.348144531
16.349150391	0.346191406
16.364765625	0.342285156
16.395996094	0.340820312
16.427226562	0.337402344
16.442841797	0.335937500
16.489687500	0.331542969
16.505302734	0.329589844
16.536533203	0.325683594
16.552148438	0.324707031
16.583378906	0.319824219
16.614609375	0.318359375
16.630224609	0.313476562
16.677070312	0.311035156
16.692685547	0.306152344
16.723916016	0.304199219
16.755146484	0.299804687
16.770761719	0.297363281
16.801992187	0.291015625
16.817607422	0.288574219
16.848837891	0.283691406
16.880068359	0.281738281
16.911298828	0.276855469
16.926914062	0.274414062
16.973759766	0.269531250
16.989375000	0.267578125
17.004990234	0.262695312
17.036220703	0.260253906
17.067451172	0.255371094
17.098681641	0.253417969
17.114296875	0.249023437
17.145527344	0.246582031
17.161142578	0.242187500
17.207988281	0.240722656
17.223603516	0.236816406
17.254833984	0.235351562
17.286064453	0.230468750
17.301679687	0.229492187
17.332910156	0.225097656
17.379755859	0.224121094
17.395371094	0.220214844
17.410986328	0.218750000
17.426601563	0.215332031
17.473447266	0.214355469
17.489062500	0.210449219
17.520292969	0.209472656
17.551523437	0.206054687
17.567138672	0.204589844
17.598369141	0.201171875
17.629599609	0.200683594
17.660830078	0.198242187
17.676445313	0.198242187
17.707675781	0.196777344
17.723291016	0.197753906
17.754521484	0.196289062
17.801367187	0.197753906
17.816982422	0.196289062
17.848212891	0.197265625
17.863828125	0.194824219
17.879443359	0.195312500
17.910673828	0.193847656
17.941904297	0.194335937
17.973134766	0.193359375
18.004365234	0.194824219
18.019980469	0.193847656
18.051210937	0.195312500
18.082441406	0.194824219
18.113671875	0.196289062
18.144902344	0.192871094
18.144902344	0.196289062
18.176132813	0.195800781
18.207363281	0.197753906
18.238593750	0.197265625
18.254208984	0.199707031
18.285439453	0.199707031
18.332285156	0.202148437
18.347900391	0.203125000
18.363515625	0.206054687
18.394746094	0.207031250
18.425976563	0.209472656
18.457207031	0.209472656
18.472822266	0.212890625
18.504052734	0.213378906
18.535283203	0.216796875
18.550898437	0.217773437
18.582128906	0.221191406
18.613359375	0.222167969
18.644589844	0.226074219
18.660205078	0.226562500
18.675820313	0.229980469
18.707050781	0.230957031
18.753896484	0.233886719
18.769511719	0.234863281
18.800742187	0.238281250
18.816357422	0.238769531
18.847587891	0.242675781
18.878818359	0.244140625
18.894433594	0.247558594
18.925664063	0.249023437
18.956894531	0.253417969
18.988125000	0.254882812
19.003740234	0.258789062
19.034970703	0.260253906
19.066201172	0.264160156
19.097431641	0.266113281
19.128662109	0.270507812
19.144277344	0.271972656
19.159892578	0.275878906
19.191123047	0.277832031
19.222353516	0.281738281
19.253583984	0.283691406
19.269199219	0.288574219
19.316044922	0.290527344
19.331660156	0.295410156
19.362890625	0.297363281
19.378505859	0.301269531
19.409736328	0.303222656
19.440966797	0.308593750
19.472197266	0.310546875
19.487812500	0.315917969
19.503427734	0.317871094
19.534658203	0.325195312
19.565888672	0.326171875
19.597119141	0.330078125
19.628349609	0.332031250
19.643964844	0.335449219
19.690810547	0.337890625
19.706425781	0.342773437
19.722041016	0.345703125
19.753271484	0.350097656
19.800117187	0.352050781
19.800117187	0.356933594
19.831347656	0.358886719
19.862578125	0.363769531
19.878193359	0.366210937
19.909423828	0.371093750
19.909423828	0.373535156
19.940654297	0.378906250
19.971884766	0.383300781
20.003115234	0.387695312
20.034345703	0.389160156
20.065576172	0.394042969
20.081191406	0.395996094
20.112421875	0.401367187
20.128037109	0.403808594
20.159267578	0.408203125
20.190498047	0.411132812
20.206113281	0.415527344
20.252958984	0.417968750
20.268574219	0.422851562
20.299804687	0.424804687
20.331035156	0.429199219
20.346650391	0.431152344
20.377880859	0.435546875
20.409111328	0.437011719
20.424726562	0.441406250
20.455957031	0.442871094
20.471572266	0.445800781
20.518417969	0.446777344
20.534033203	0.449218750
20.565263672	0.450195312
20.580878906	0.452148437
20.612109375	0.452148437
20.658955078	0.454101562
20.658955078	0.453613281
20.690185547	0.455078125
20.737031250	0.454101562
20.752646484	0.454589844
20.783876953	0.453125000
20.815107422	0.453613281
20.830722656	0.451660156
20.846337891	0.452148437
20.877568359	0.449707031
20.893183594	0.450195312
20.940029297	0.447753906
20.971259766	0.447753906
20.986875000	0.444824219
21.018105469	0.444335937
21.049335938	0.441406250
21.064951172	0.440917969
21.096181641	0.437011719
21.127412109	0.436523437
21.143027344	0.432617187
21.174257812	0.432128906
21.205488281	0.428710937
21.236718750	0.427734375
21.252333984	0.423339844
21.283564453	0.422363281
21.314794922	0.418945312
21.330410156	0.417480469
21.361640625	0.414062500
21.392871094	0.412597656
21.408486328	0.409179687
21.439716797	0.407714844
21.470947266	0.403320312
21.486562500	0.401855469
21.517792969	0.397460937
21.549023438	0.395507812
21.580253906	0.391113281
21.611484375	0.389160156
21.627099609	0.384277344
21.658330078	0.382812500
21.689560547	0.377929687
21.720791016	0.375488281
21.736406250	0.370117187
21.767636719	0.368652344
21.783251953	0.363281250
21.814482422	0.361328125
21.830097656	0.356445312
21.861328125	0.354492187
21.892558594	0.349609375
21.908173828	0.348144531
21.939404297	0.343261719
21.970634766	0.341796875
21.986250000	0.337402344
22.017480469	0.334960937
22.064326172	0.331054687
22.079941406	0.329101562
22.095556641	0.325195312
22.126787109	0.323242187
22.158017578	0.318847656
22.173632812	0.316894531
22.220478516	0.312500000
22.251708984	0.310546875
22.267324219	0.306152344
22.298554688	0.304199219
22.314169922	0.300292969
22.345400391	0.298828125
22.376630859	0.294921875
22.392246094	0.293457031
22.423476562	0.289550781
22.470322266	0.288574219
22.470322266	0.285156250
22.501552734	0.284179687
22.532783203	0.281250000
22.564013672	0.280273437
22.579628906	0.278320312
22.610859375	0.277343750
22.642089844	0.274902344
22.657705078	0.274414062
22.688935547	0.271972656
22.720166016	0.272460937
22.735781250	0.270507812
22.767011719	0.270019531
22.798242188	0.268554687
22.813857422	0.268066406
22.860703125	0.266113281
22.876318359	0.266601562
22.907548828	0.266113281
22.923164062	0.266113281
22.954394531	0.264648437
22.985625000	0.265625000
23.016855469	0.265136719
23.048085937	0.265625000
23.063701172	0.265136719
23.094931641	0.266113281
23.110546875	0.265625000
23.141777344	0.267578125
23.173007812	0.267089844
23.204238281	0.269042969
23.219853516	0.268554687
23.251083984	0.270996094
23.282314453	0.270996094
23.297929687	0.272949219
23.329160156	0.273925781
23.360390625	0.275878906
23.391621094	0.276367187
23.407236328	0.278808594
23.438466797	0.279785156
23.469697266	0.281738281
23.485312500	0.283203125
23.532158203	0.285156250
23.547773437	0.286621094
23.579003906	0.289062500
23.594619141	0.291015625
23.610234375	0.293457031
23.641464844	0.295410156
23.672695313	0.298339844
23.703925781	0.299804687
23.735156250	0.302734375
23.766386719	0.304687500
23.797617187	0.307617187
23.813232422	0.309570312
23.844462891	0.312988281
23.860078125	0.315429687
23.875693359	0.318359375
23.891308594	0.321289062
23.922539063	0.324707031
23.953769531	0.327148437
23.969384766	0.331542969
24.000615234	0.334472656
24.031845703	0.337402344
24.063076172	0.340332031
24.078691406	0.343750000
24.109921875	0.346191406
24.125537109	0.349121094
24.156767578	0.351562500
24.187998047	0.355468750
24.219228516	0.359375000
24.234843750	0.370605469
24.281689453	0.370117187
24.297304687	0.372070312
24.328535156	0.374511719
24.359765625	0.377929687
24.375380859	0.381347656
24.406611328	0.385253906
24.422226563	0.387695312
24.453457031	0.390136719
24.484687500	0.393066406
24.500302734	0.396972656
24.531533203	0.400390625
24.562763672	0.404296875
24.578378906	0.407714844
24.609609375	0.411132812
24.640839844	0.415039062
24.672070313	0.418945312
24.703300781	0.422363281
24.718916016	0.426757812
24.750146484	0.430664062
24.781376953	0.434570312
24.812607422	0.439453125
24.828222656	0.443847656
24.859453125	0.447265625
24.890683594	0.452148437
24.906298828	0.455566406
24.937529297	0.459472656
24.968759766	0.461425781
24.999990234	0.465820312
25.015605469	0.469238281
25.046835937	0.473144531
25.078066406	0.477050781
25.109296875	0.479492187
25.124912109	0.482421875
25.140527344	0.485839844
25.187373047	0.488281250
25.202988281	0.491210937
25.218603516	0.494140625
25.249833984	0.498535156
25.281064453	0.501464844
25.312294922	0.504882812
25.343525391	0.506835937
25.343525391	0.509277344
25.390371094	0.512207031
25.421601563	0.513671875
25.452832031	0.515136719
25.468447266	0.516601562
25.499677734	0.517089844
25.515292969	0.517578125
25.546523437	0.518066406
25.577753906	0.518554687
25.608984375	0.518066406
25.640214844	0.518066406
25.655830078	0.518066406
25.687060547	0.518066406
25.702675781	0.517578125
25.733906250	0.516601562
25.765136719	0.516113281
25.796367187	0.514648437
25.827597656	0.514160156
25.827597656	0.512695312
25.874443359	0.511718750
25.890058594	0.511230469
25.921289062	0.510253906
25.936904297	0.509277344
25.968134766	0.507324219
25.999365234	0.504394531
26.014980469	0.502441406
26.046210937	0.500976562
26.077441406	0.498535156
26.108671875	0.496582031
26.139902344	0.494628906
26.155517578	0.491699219
26.202363281	0.490234375
26.217978516	0.487792969
26.233593750	0.485839844
26.264824219	0.483398437
26.296054687	0.481445312
26.311669922	0.478515625
26.342900391	0.476074219
26.389746094	0.472656250
26.405361328	0.470214844
26.420976562	0.467773437
26.452207031	0.465332031
26.467822266	0.462890625
26.499052734	0.459960937
26.530283203	0.457519531
26.561513672	0.456054687
26.577128906	0.452148437
26.608359375	0.449218750
26.639589844	0.445800781
