Chart Recorder Data File Wed, Nov 24, 2021 1:23 PM
CH1 (V)  	CH2 (V)  
2.951279297	-0.019042969
2.982509766	-0.018066406
2.998125000	-0.018554687
3.029355469	-0.018066406
3.060585937	-0.018066406
3.076201172	-0.017578125
3.107431641	-0.017089844
3.123046875	-0.015625000
3.154277344	-0.015136719
3.185507813	-0.014648437
3.216738281	-0.015625000
3.247968750	-0.015136719
3.263583984	-0.015136719
3.294814453	-0.013671875
3.310429688	-0.011718750
3.341660156	-0.010253906
3.372890625	-0.009277344
3.388505859	-0.009277344
3.419736328	-0.009277344
3.450966797	-0.008789062
3.482197266	-0.009277344
3.497812500	-0.008789062
3.529042969	-0.008789062
3.544658203	-0.008300781
3.575888672	-0.007812500
3.622734375	-0.007812500
3.638349609	-0.007324219
3.669580078	-0.005371094
3.700810547	-0.004882812
3.716425781	-0.004394531
3.747656250	-0.003906250
3.763271484	-0.002441406
3.810117187	-0.001464844
3.825732422	-0.001464844
3.856962891	-0.001464844
3.872578125	-0.001953125
3.903808594	-0.001464844
3.919423828	-0.000488281
3.950654297	0.000488281
3.981884766	0.000488281
3.981884766	-0.000488281
4.013115234	0.000976562
4.028730469	0.003906250
4.075576172	0.006835937
4.106806641	0.009277344
4.122421875	0.011230469
4.153652344	0.011718750
4.169267578	0.012207031
4.216113281	0.012207031
4.231728516	0.012695312
4.247343750	0.013183594
4.278574219	0.013671875
4.309804687	0.014160156
4.325419922	0.015136719
4.356650391	0.016113281
4.387880859	0.017578125
4.403496094	0.019042969
4.434726562	0.020019531
4.465957031	0.020507812
4.497187500	0.020019531
4.512802734	0.020019531
4.544033203	0.020996094
4.575263672	0.023437500
4.590878906	0.023437500
4.622109375	0.024414062
4.653339844	0.025878906
4.684570312	0.026855469
4.715800781	0.026855469
4.731416016	0.028808594
4.762646484	0.030273437
4.778261719	0.031738281
4.825107422	0.032714844
4.840722656	0.034667969
4.871953125	0.036621094
4.903183594	0.037597656
4.903183594	0.038574219
4.950029297	0.040527344
4.965644531	0.041503906
